92, , , ,car,37%,417,244,78,38
93,53,0000000052.png,0.010642,car,73%,17,266,115,132
94, , , ,train,37%,728,203,93,57
95,54,0000000053.png,0.010606,car,53%,4,272,93,116
96, , , ,car,38%,405,247,80,38
97,55,0000000054.png,0.01128,car,26%,20,270,49,125
98, , , ,train,55%,714,202,119,60
99,56,0000000055.png,0.010667,car,78%,14,268,161,115
100, , , ,train,56%,721,204,108,57
101,57,0000000056.png,0.010655,car,78%,13,265,143,124
102, , , ,train,57%,738,210,95,65
103,58,0000000057.png,0.010677,car,73%,7,262,115,127
104, , , ,train,64%,728,204,110,75
105,59,0000000058.png,0.010629,car,70%,10,263,85,129
106, , , ,train,55%,726,207,111,67
107,60,0000000059.png,0.010652,car,49%,13,271,53,131
108, , , ,train,30%,731,217,89,47
109,61,0000000060.png,0.010652,car,62%,300,251,117,57
110, , , ,train,53%,704,202,128,59
111,62,0000000061.png,0.010637,car,72%,290,253,119,58
112, , , ,train,54%,710,203,112,60
113,63,0000000062.png,0.010648,car,73%,275,251,124,63
114, , , ,train,30%,717,202,118,60
115,64,0000000063.png,0.010645,car,68%,261,252,138,63
116, , , ,dog,34%,823,0,307,115
117,65,0000000064.png,0.010673,car,27%,86,258,183,65
118, , , ,dog,31%,813,1,329,110
119,66,0000000065.png,0.010634,car,75%,216,256,146,63
120, , , ,train,35%,714,208,116,49
121,67,0000000066.png,0.010624,car,75%,198,252,145,71
122, , , ,train,45%,712,205,112,56
123,68,0000000067.png,0.010621,car,77%,189,253,137,73
124, , , ,train,43%,722,215,116,51
125,69,0000000068.png,0.01066,car,80%,161,256,156,76
126, , , ,train,31%,718,208,114,50
127,70,0000000069.png,0.010648,car,82%,134,255,174,87
128, , , ,train,52%,722,215,120,51
129,71,0000000070.png,0.010676,car,78%,102,257,183,89
130, , , ,train,50%,722,214,107,52
131,72,0000000071.png,0.01065,car,83%,86,261,190,89
132, , , ,train,28%,745,202,577,90
133,73,0000000072.png,0.010653,car,81%,69,260,174,92
134, , , ,train,35%,728,215,95,50
135,74,0000000073.png,0.010622,car,79%,35,261,187,99
136, , , ,train,34%,727,221,92,43
137,75,0000000074.png,0.010639,car,73%,4,261,191,124
138, , , ,train,48%,729,220,95,47
139,76,0000000075.png,0.010626,car,77%,9,266,172,118
140, , , ,train,56%,718,217,111,50
141,77,0000000076.png,0.010642,car,78%,15,261,144,128
142, , , ,train,27%,734,220,84,46
143,78,0000000077.png,0.010606,car,73%,10,259,126,126
144, , , ,train,33%,719,216,105,51
145,79,0000000078.png,0.010637,car,68%,13,253,88,137
146, , , ,train,42%,725,218,94,48
147,80,0000000079.png,0.010644,car,70%,6,211,79,191
148, , , ,train,32%,716,200,102,63
149,81,0000000080.png,0.010635,car,31%,287,235,120,45
150, , , ,train,31%,719,203,97,56
151,82,0000000081.png,0.010676,car,30%,293,233,125,45
152, , , ,train,46%,715,203,97,60
153,83,0000000082.png,0.01065,car,42%,-9,246,365,96
154, , , ,train,30%,722,203,97,56
155,84,0000000083.png,0.010657,,,,,,
156,85,0000000084.png,0.010696,,,,,,
157,86,0000000085.png,0.010649,,,,,,
158,87,0000000086.png,0.010711,,,,,,
159,88,0000000087.png,0.010642,train,31%,1280,205,95,98
160,89,0000000088.png,0.010663,,,,,,
161,90,0000000089.png,0.010637,train,26%,1294,198,90,111
162,91,0000000090.png,0.010665,car,26%,199,236,142,44
163,92,0000000091.png,0.010662,,,,,,
164,93,0000000092.png,0.010656,,,,,,
165,94,0000000093.png,0.010628,car,34%,217,245,119,41
166, , , ,train,26%,1089,191,310,111
167,95,0000000094.png,0.010644,,,,,,
168,96,0000000095.png,0.010625,,,,,,
169,97,0000000096.png,0.010667,,,,,,
170,98,0000000097.png,0.010654,,,,,,
171,99,0000000098.png,0.010665,horse,26%,1321,201,72,113
172,100,0000000099.png,0.010645,car,32%,190,243,132,46
173,101,0000000100.png,0.010644,car,29%,9,249,121,85
174, , , ,car,37%,194,241,131,45
175,102,0000000101.png,0.011312,car,27%,125,247,116,45
176, , , ,person,26%,582,2,96,54
177,103,0000000102.png,0.010633,car,33%,3,232,96,67
178, , , ,car,40%,129,246,119,46
179,104,0000000103.png,0.010637,car,32%,103,249,133,47
180,105,0000000104.png,0.01064,car,46%,119,251,113,42
181,106,0000000105.png,0.010686,car,29%,6,253,70,84
182, , , ,car,51%,93,252,126,53
183,107,0000000106.png,0.010646,car,62%,101,249,121,47
184,108,0000000107.png,0.010622,car,57%,89,251,104,55
185,109,0000000108.png,0.010654,car,63%,85,251,109,57
186,110,0000000109.png,0.010648,car,67%,74,253,121,55
187, , , ,bicycle,31%,1365,209,33,103
188,111,0000000110.png,0.010607,car,65%,66,253,137,55
189,112,0000000111.png,0.01064,car,64%,63,253,140,56
190,113,0000000112.png,0.010668,car,33%,32,253,70,60
191, , , ,car,61%,56,250,146,58
192,114,0000000113.png,0.010624,car,35%,38,254,80,58
193, , , ,car,57%,56,252,147,55
194,114,0000000113.png,0.010624,car,35%,38,254,80,58
195, , , ,car,57%,56,252,147,55
